gene_species_ID,LD1,LD2,LD3,Pc15,Pc24,Pc28,PR,tiplabel,species,clade,TSD,SSD,CSD,GSD,DAPC_group
egln1a_Acanthochromis_polyacanthus_9308,-3.28581858,2.084883298,1.016155764,7.186402893,6.318678639,5.92,-1.724802973,egln1a_Acanthochromis_polyacanthus_9308,Acanthochromis_polyacanthus,Neoteleostei,a,NA,NA,NA,2
egln1a_Oreochromis_niloticus_6862,-2.568185147,3.239234723,1.290875325,2.490514095,2.651001165,2.980999771,-1.618731138,egln1a_Oreochromis_niloticus_6862,Oreochromis_niloticus,Neoteleostei,a,NA,NA,NA,2
egln1a_Fundulus_heteroclitus_1348_0184,-1.720527663,2.539644127,1.065286218,3.847178642,4.380642717,4.617737861,-1.540607618,egln1a_Fundulus_heteroclitus_1348_0184,Fundulus_heteroclitus,Neoteleostei,a,NA,NA,NA,2
egln1a_Girardinichthys_multiradiatus_8848,0.923120505,2.842765656,1.836720759,2.654244703,2.001490547,1.655763187,-3.054420733,egln1a_Girardinichthys_multiradiatus_8848,Girardinichthys_multiradiatus,Neoteleostei,a,NA,NA,NA,2
egln1a_Poecilia_latipinna_7736,-2.467285289,0.156781039,0.212917777,2.878296563,2.816829656,2.789511031,-2.000942123,egln1a_Poecilia_latipinna_7736,Poecilia_latipinna,Neoteleostei,a,NA,NA,NA,2
egln1a_Cyprinodon_variegatus_7820,-2.896835464,1.112565166,-0.881389312,7.79352863,8.597177096,8.954354192,-0.474269154,egln1a_Cyprinodon_variegatus_7820,Cyprinodon_variegatus,Neoteleostei,a,NA,NA,NA,2
egln1b_Anguilla_anguilla_0609,5.999480258,2.638226551,-1.208449934,4.881191938,5.951119194,6.426642419,2.604505838,egln1b_Anguilla_anguilla_0609,Anguilla_anguilla,eel,b,NA,NA,NA,4
elgn1bl_Clupea_harengus_3867,3.787603011,-0.580253681,1.405850669,3.430714226,3.917999832,4.134571212,-2.424095309,elgn1bl_Clupea_harengus_3867,Clupea_harengus,Otocephala,b,NA,NA,NA,4
egln1b_Danio_rerio_6868,0.228385215,-5.706376847,0.391520965,3.98690362,2.70193557,2.537919329,-4.453153161,egln1b_Danio_rerio_6868,Danio_rerio,Otocephala,b,NA,NA,NA,3
egln1bl_Ctenopharyngodon_idella_2502,0.097470979,-5.405118312,-1.068236473,2.652578995,2.855162505,2.945199621,-2.054115266,egln1bl_Ctenopharyngodon_idella_2502,Ctenopharyngodon_idella,Otocephala,b,NA,NA,NA,3
egln1bl_Cyprinus_carpio_9443,0.06831652,-0.987008876,-0.148025422,1.97609688,3.198353938,3.741579297,-2.071247973,egln1bl_Cyprinus_carpio_9443,Cyprinus_carpio,Otocephala,b,NA,1,NA,2
egln1bl_Carassius_auratus_5383,-0.399311756,-5.070767727,0.074667851,2.248010209,3.310401467,3.770630877,-2.747682144,egln1bl_Carassius_auratus_5383,Carassius_auratus,Otocephala,b,NA,1,NA,3
egln1bl_Cyprinus_carpio_3801,0.106215213,-7.425343135,0.454969687,1.97609688,3.198353938,3.741579297,-2.071247973,egln1bl_Cyprinus_carpio_3801,Cyprinus_carpio,Otocephala,b,NA,2,NA,3
egln1bl_Carassius_auratus_1041,0.106215213,-7.425343135,0.454969687,2.248010209,3.310401467,3.770630877,-2.747682144,egln1bl_Carassius_auratus_1041,Carassius_auratus,Otocephala,b,NA,2,NA,3
egln1b_Esox_lucius_2318,6.678593439,1.562531848,0.215538977,0,1.199586922,1.732736665,-2.910180096,egln1b_Esox_lucius_2318,Esox_lucius,Salmoniformes+sister,b,NA,NA,NA,4
egln1bl_Salmo_salar_4814,6.678593439,1.562531848,0.215538977,10.44329784,13.42140542,14.57828012,3.648083446,egln1bl_Salmo_salar_4814,Salmo_salar,Salmoniformes+sister,b,1,NA,NA,4
egln1bl_Oncorhynchus_mykiss_8917,7.488597322,1.04622014,0.178836867,10.93043697,13.30736556,14.42385296,3.073970709,egln1bl_Oncorhynchus_mykiss_8917,Oncorhynchus_mykiss,Salmoniformes+sister,b,1,NA,NA,4
egln1bl_Oncorhynchus_tshawytscha_5624,6.678593439,1.562531848,0.215538977,5.543222223,7.532888893,8.417185191,0.700415021,egln1bl_Oncorhynchus_tshawytscha_5624,Oncorhynchus_tshawytscha,Salmoniformes+sister,b,1,NA,NA,4
egln1bl_Salmo_salar_5313,6.678593439,1.562531848,0.215538977,10.44329784,13.42140542,14.57828012,3.648083446,egln1bl_Salmo_salar_5313,Salmo_salar,Salmoniformes+sister,b,2,NA,NA,4
egln1bl_Oncorhynchus_mykiss_6061,6.678593439,1.562531848,0.215538977,10.93043697,13.30736556,14.42385296,3.073970709,egln1bl_Oncorhynchus_mykiss_6061,Oncorhynchus_mykiss,Salmoniformes+sister,b,2,NA,NA,4
egln1bl_Oncorhynchus_tshawytscha_5558,5.954225495,1.74049368,-0.188992377,5.543222223,7.532888893,8.417185191,0.700415021,egln1bl_Oncorhynchus_tshawytscha_5558,Oncorhynchus_tshawytscha,Salmoniformes+sister,b,2,NA,NA,4
