gene_species_ID,LD1,LD2,LD3,Pc15,Pc24,Pc28,PR,tiplabel,species,clade,TSD,SSD,CSD,GSD,DAPC_group
hif1aa_Fundulus_heteroclitus_7646,10.16215716,-0.184362949,1.31496559,3.847178642,4.380642717,4.617737861,-1.540607618,hif1aa_Fundulus_heteroclitus_7646,Fundulus_heteroclitus,Neoteleostei,a,NA,NA,NA,3
hif1aa_Girardinichthys_multiradiatus_5803,11.2166221,-2.001299004,-0.613627368,2.654244703,2.001490547,1.655763187,-3.054420733,hif1aa_Girardinichthys_multiradiatus_5803,Girardinichthys_multiradiatus,Neoteleostei,a,NA,NA,NA,3
hif1aa_Cyprinidon_variegatus_7575,8.539263754,-1.599127912,-0.43423422,7.79352863,8.597177096,8.954354192,-0.474269154,hif1aa_Cyprinidon_variegatus_7575,Cyprinidon_variegatus,Neoteleostei,a,NA,NA,NA,3
hif1ab_Clupea_harengus_7766,-6.697902882,-6.731472444,-2.487549756,3.430714226,3.917999832,4.134571212,-2.424095309,hif1ab_Clupea_harengus_7766,Clupea_harengus,Otocephala,b,NA,NA,NA,4
hif1ab_Colossoma_macropomum_5526,-8.59967965,-6.613553853,-2.673287872,2.685889286,4.314355715,5.038118572,-1.092274226,hif1ab_Colossoma_macropomum_5526,Colossoma_macropomum,Otocephala,b,NA,NA,NA,4
hif1ab_Danio_rerio_3292,-8.182472949,-7.154607264,-1.320075845,3.98690362,2.70193557,2.537919329,-4.453153161,hif1ab_Danio_rerio_3292,Danio_rerio,Otocephala,b,NA,NA,NA,4
hif1ab_Ctenopharyngodon_idella_2086,-7.218073742,-7.381575187,-1.197943889,2.652578995,2.855162505,2.945199621,-2.054115266,hif1ab_Ctenopharyngodon_idella_2086,Ctenopharyngodon_idella,Otocephala,b,NA,NA,NA,4
hif1ab_Cyprinus_carpio_0693,-7.243931265,-8.095132663,-2.291515714,1.97609688,3.198353938,3.741579297,-2.071247973,hif1ab_Cyprinus_carpio_0693,Cyprinus_carpio,Otocephala,b,NA,1,NA,4
hif1ab_Carassius_auratus_1035,-6.357776446,-7.114291256,-2.143118875,2.248010209,3.310401467,3.770630877,-2.747682144,hif1ab_Carassius_auratus_1035,Carassius_auratus,Otocephala,b,NA,1,1,4
hif1abl_Cyprinus_carpio_1721,-8.872958286,-8.060061014,-4.216832421,1.97609688,3.198353938,3.741579297,-2.071247973,hif1abl_Cyprinus_carpio_1721,Cyprinus_carpio,Otocephala,b,NA,2,NA,4
hif1abl_Carassius_auratus_3374,-8.677703171,-7.475200989,-3.052347185,2.248010209,3.310401467,3.770630877,-2.747682144,hif1abl_Carassius_auratus_3374,Carassius_auratus,Otocephala,b,NA,2,1,4
hif1abl_Carassius_auratus_3370,-8.820302102,-7.456356331,-2.997017112,2.248010209,3.310401467,3.770630877,-2.747682144,hif1abl_Carassius_auratus_3370,Carassius_auratus,Otocephala,b,NA,2,2,4
hif1aal_hif1abl_Anguilla_anguilla_9931,-4.751119037,1.78199172,4.6211176,4.881191938,5.951119194,6.426642419,2.604505838,hif1aal_hif1abl_Anguilla_anguilla_9931,Anguilla_anguilla,eel,b,NA,NA,NA,1
