gene_species_ID,LD1,Pc15,Pc24,Pc28,PR,tiplabel,species,clade,TSD,SSD,CSD,GSD,DAPC_group
egln3_Morone_saxatilis_7423,3.871356165,5.488560809,6.586864864,7.075,0.60924705,egln3_Morone_saxatilis_7423,Morone_saxatilis,Neoteleostei,a,NA,NA,NA,2
egln3_Thunnus_maccoyii_1533,-1.583289799,4.9655002,6.41562475,7.06012455,-1.594566654,egln3_Thunnus_maccoyii_1533,Thunnus_maccoyii,Neoteleostei,a,NA,NA,NA,1
egln3l_Lates_calcarifer_1163,3.871356165,3.423216967,3.633557293,3.742630955,-0.235871142,egln3l_Lates_calcarifer_1163,Lates_calcarifer,Neoteleostei,a,NA,NA,NA,2
egln3_Micropterus_salmoides_0676,-2.360196309,5.005044478,5.128017791,5.182672597,0.378512922,egln3_Micropterus_salmoides_0676,Micropterus_salmoides,Neoteleostei,a,NA,NA,NA,1
egln3l_Betta_splendens_7957,-2.878425519,8.312073421,6.0843299,5.171890033,3.391224346,egln3l_Betta_splendens_7957,Betta_splendens,Neoteleostei,a,NA,NA,NA,1
egln3_Scophthalmus_maximus_6054,-1.875531572,3.768981407,4.763565074,5.205602259,-0.566176202,egln3_Scophthalmus_maximus_6054,Scophthalmus_maximus,Neoteleostei,a,NA,NA,NA,1
egln3_Perca_fluviatilis_9458,-2.829218502,3.552720127,4.627823898,5.105647797,0.029608935,egln3_Perca_fluviatilis_9458,Perca_fluviatilis,Neoteleostei,a,NA,NA,NA,1
egln3_Cyclopterus_lumpus_1209,0.575630448,7.728455506,6.997912262,6.673226376,0.820253593,egln3_Cyclopterus_lumpus_1209,Cyclopterus_lumpus,Neoteleostei,a,NA,NA,NA,1
egln3_Oreochromis_niloticus_2648,-1.813124212,2.490514095,2.651001165,2.980999771,-1.618731138,egln3_Oreochromis_niloticus_2648,Oreochromis_niloticus,Neoteleostei,a,NA,NA,NA,1
egln3l_Acanthochromis_polyacanthus_9938,-1.630168039,7.186402893,6.318678639,5.92,-1.724802973,egln3l_Acanthochromis_polyacanthus_9938,Acanthochromis_polyacanthus,Neoteleostei,a,NA,NA,NA,1
egln3_Fundulus_heteroclitus_1426,-3.253887996,3.847178642,4.380642717,4.617737861,-1.540607618,egln3_Fundulus_heteroclitus_1426,Fundulus_heteroclitus,Neoteleostei,a,NA,NA,NA,1
egln3_Cyprinodon_variegatus_6869,-2.872993885,7.79352863,8.597177096,8.954354192,-0.474269154,egln3_Cyprinodon_variegatus_6869,Cyprinodon_variegatus,Neoteleostei,a,NA,NA,NA,1
egln3_Poecilia_latipinna_3955,-1.952650559,2.878296563,2.816829656,2.789511031,-2.000942123,egln3_Poecilia_latipinna_3955,Poecilia_latipinna,Neoteleostei,a,NA,NA,NA,1
egln3_Girardinichthys_multiradiatus_5976,-2.972415591,2.654244703,2.001490547,1.655763187,-3.054420733,egln3_Girardinichthys_multiradiatus_5976,Girardinichthys_multiradiatus,Neoteleostei,a,NA,NA,NA,1
